









Frequency of observations in the selected location(s).:
Number of taxa: 	169

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	6.0	4.0	8.0	7.0	7.0	6.0	7.0	6.0	7.0	12.0	13.0	24.0	15.0	20.0	24.0	28.0	18.0	24.0	20.0	22.0	15.0	16.0	14.0	12.0	8.0	4.0	7.0	8.0	8.0	11.0	10.0	14.0	11.0	8.0	11.0	14.0	12.0	10.0	11.0	14.0	9.0	6.0	7.0	8.0	6.0	6.0	3.0	7.0	

Canada Goose (<em class="sci">Branta canadensis</em>)	0.5	0.5	0.375	0.2857142857142857	0.14285714285714285	0.5	0.2857142857142857	0.3333333333333333	0.14285714285714285	0.3333333333333333	0.5384615384615384	0.4583333333333333	0.5333333333333333	0.5	0.4583333333333333	0.35714285714285715	0.5	0.2916666666666667	0.1	0.22727272727272727	0.06666666666666667	0.1875	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.1	0.0	0.18181818181818182	0.5	0.09090909090909091	0.5	0.3333333333333333	0.3	0.18181818181818182	0.2857142857142857	0.2222222222222222	0.0	0.0	0.5	0.16666666666666666	0.16666666666666666	0.0	0.14285714285714285	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck (<em class="sci">Aix sponsa</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.041666666666666664	0.03571428571428571	0.05555555555555555	0.08333333333333333	0.1	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Black Duck (<em class="sci">Anas rubripes</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.23076923076923078	0.08333333333333333	0.0	0.2	0.16666666666666666	0.03571428571428571	0.1111111111111111	0.041666666666666664	0.2	0.09090909090909091	0.0	0.0625	0.14285714285714285	0.08333333333333333	0.125	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.18181818181818182	0.125	0.09090909090909091	0.07142857142857142	0.08333333333333333	0.0	0.09090909090909091	0.07142857142857142	0.2222222222222222	0.0	0.14285714285714285	0.0	0.0	0.16666666666666666	0.0	0.14285714285714285	
Northern Pintail (<em class="sci">Anas acuta</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Merganser (<em class="sci">Mergus merganser</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
